"","country","year","cfr","e_inc_num"
"169","Slovenia",2019,0.07,110
"170","Solomon Islands",2019,0.11,440
"171","Somalia",2019,0.27,40000
"172","South Africa",2019,0.17,360000
"173","South Sudan",2019,0.19,25000
"174","Spain",2019,0.07,4300
"175","Sri Lanka",2019,0.06,14000
"176","Sudan",2019,0.16,29000
"177","Suriname",2019,0.16,170
"178","Sweden",2019,0.04,550
"179","Switzerland",2019,0.07,460
"180","Syrian Arab Republic",2019,0.01,3200
"181","Tajikistan",2019,0.1,7700
"182","Thailand",2019,0.11,105000
"183","Timor-Leste",2019,0.19,6400
"184","Togo",2019,0.1,3000
"185","Tokelau",2019,0.11,0
"186","Tonga",2019,0.08,12
"187","Trinidad and Tobago",2019,0.11,250
"188","Tunisia",2019,0.04,4100
"189","Turkey",2019,0.03,13000
"190","Turkmenistan",2019,0.28,2600
"191","Turks and Caicos Islands",2019,0.08,5
"192","Tuvalu",2019,0.08,34
"193","Uganda",2019,0.19,88000
"194","Ukraine",2019,0.16,34000
"195","United Arab Emirates",2019,0.67,99
"196","United Kingdom of Great Britain and Northern Ireland",2019,0.06,5400
"197","United Republic of Tanzania",2019,0.26,137000
"198","United States of America",2019,0.06,9800
"199","Uruguay",2019,0.08,1200
"200","Uzbekistan",2019,0.08,22000
"201","Vanuatu",2019,0.13,120
"202","Venezuela (Bolivarian Republic of)",2019,0.08,13000
"203","Viet Nam",2019,0.07,170000
"204","Wallis and Futuna Islands",2019,0.08,1
"205","Yemen",2019,0.14,14000
"206","Zambia",2019,0.27,59000
"207","Zimbabwe",2019,0.22,29000
