"","country","year","risk_factor","totalcase"
"151","Serbia",2019,"alc",304
"152","Seychelles",2019,"alc",4
"153","Sierra Leone",2019,"alc",3130
"154","Singapore",2019,"alc",123
"155","Slovakia",2019,"alc",82
"156","Slovenia",2019,"alc",52
"157","Solomon Islands",2019,"alc",78
"158","Somalia",2019,"alc",570
"159","South Africa",2019,"alc",92200
"160","Spain",2019,"alc",296
"161","Sri Lanka",2019,"alc",1923
"162","Sudan",2019,"alc",1569
"163","Suriname",2019,"alc",45
"164","Sweden",2019,"alc",206
"165","Switzerland",2019,"alc",157
"166","Syrian Arab Republic",2019,"alc",77
"167","Tajikistan",2019,"alc",302
"168","Thailand",2019,"alc",24600
"169","Timor-Leste",2019,"alc",488
"170","Togo",2019,"alc",1043
"171","Tonga",2019,"alc",1
"172","Trinidad and Tobago",2019,"alc",69
"173","Tunisia",2019,"alc",106
"174","Turkey",2019,"alc",2700
"175","Turkmenistan",2019,"alc",618
"176","Tuvalu",2019,"alc",5
"177","Uganda",2019,"alc",21100
"178","Ukraine",2019,"alc",8820
"179","United Arab Emirates",2019,"alc",2
"180","United Kingdom of Great Britain and Northern Ireland",2019,"alc",1760
"181","United Republic of Tanzania",2019,"alc",33900
"182","United States of America",2019,"alc",4880
"183","Uruguay",2019,"alc",323
"184","Uzbekistan",2019,"alc",4600
"185","Vanuatu",2019,"alc",21
"186","Venezuela (Bolivarian Republic of)",2019,"alc",3340
"187","Viet Nam",2019,"alc",40200
"188","Yemen",2019,"alc",209
"189","Zambia",2019,"alc",12630
"190","Zimbabwe",2019,"alc",7060
"191","Afghanistan",2019,"all",360000
"192","Albania",2019,"all",2360
"193","Algeria",2019,"all",130110
"194","American Samoa",2019,"all",8
"195","Andorra",2019,"all",29
"196","Angola",2019,"all",559000
"197","Anguilla",2019,"all",0
"198","Antigua and Barbuda",2019,"all",0
"199","Argentina",2019,"all",65560
"200","Armenia",2019,"all",3875
"201","Aruba",2019,"all",10
"202","Australia",2019,"all",8622
"203","Austria",2019,"all",2806
"204","Azerbaijan",2019,"all",30036
"205","Bahamas",2019,"all",293
"206","Bahrain",2019,"all",1014
"207","Bangladesh",2019,"all",1803600
"208","Barbados",2019,"all",0
"209","Belarus",2019,"all",13805
"210","Belgium",2019,"all",5111
"211","Belize",2019,"all",513
"212","Benin",2019,"all",32450
"213","Bermuda",2019,"all",10
"214","Bhutan",2019,"all",6326
"215","Bolivia (Plurinational State of)",2019,"all",60370
"216","Bosnia and Herzegovina",2019,"all",4488
"217","Botswana",2019,"all",29070
"218","Brazil",2019,"all",479580
"219","British Virgin Islands",2019,"all",5
"220","Brunei Darussalam",2019,"all",1391
"221","Bulgaria",2019,"all",7091
"222","Burkina Faso",2019,"all",47910
"223","Burundi",2019,"all",61150
"224","Cabo Verde",2019,"all",1266
"225","Cambodia",2019,"all",236330
