"","country","year","risk_factor","totalcase"
"743","Syrian Arab Republic",2019,"hiv",2
"744","Tajikistan",2019,"hiv",220
"745","Thailand",2019,"hiv",10000
"746","Timor-Leste",2019,"hiv",55
"747","Togo",2019,"hiv",450
"748","Trinidad and Tobago",2019,"hiv",39
"749","Tunisia",2019,"hiv",49
"750","Turkey",2019,"hiv",150
"751","Turkmenistan",2019,"hiv",600
"752","Uganda",2019,"hiv",33000
"753","Ukraine",2019,"hiv",7800
"754","United Arab Emirates",2019,"hiv",1
"755","United Kingdom of Great Britain and Northern Ireland",2019,"hiv",200
"756","United Republic of Tanzania",2019,"hiv",31000
"757","United States of America",2019,"hiv",430
"758","Uruguay",2019,"hiv",160
"759","Uzbekistan",2019,"hiv",870
"760","Venezuela (Bolivarian Republic of)",2019,"hiv",970
"761","Viet Nam",2019,"hiv",5400
"762","Yemen",2019,"hiv",120
"763","Zambia",2019,"hiv",25000
"764","Zimbabwe",2019,"hiv",16000
"765","Albania",2019,"smk",136
"766","Algeria",2019,"smk",3750
"767","Andorra",2019,"smk",0
"768","Argentina",2019,"smk",2630
"769","Armenia",2019,"smk",224
"770","Australia",2019,"smk",247
"771","Austria",2019,"smk",143
"772","Azerbaijan",2019,"smk",1192
"773","Bahamas",2019,"smk",5
"774","Bahrain",2019,"smk",41
"775","Bangladesh",2019,"smk",68800
"776","Barbados",2019,"smk",0
"777","Belarus",2019,"smk",742
"778","Belgium",2019,"smk",238
"779","Benin",2019,"smk",417
"780","Bosnia and Herzegovina",2019,"smk",319
"781","Botswana",2019,"smk",1041
"782","Brazil",2019,"smk",13700
"783","Brunei Darussalam",2019,"smk",44
"784","Bulgaria",2019,"smk",475
"785","Burkina Faso",2019,"smk",1221
"786","Burundi",2019,"smk",1210
"787","Cambodia",2019,"smk",8180
"788","Cameroon",2019,"smk",3727
"789","Canada",2019,"smk",269
"790","Chad",2019,"smk",2145
"791","Chile",2019,"smk",1310
"792","China",2019,"smk",213500
"793","Colombia",2019,"smk",1560
"794","Comoros",2019,"smk",41
"795","Congo",2019,"smk",2528
"796","Cook Islands",2019,"smk",0
"797","Costa Rica",2019,"smk",53
"798","Côte d'Ivoire",2019,"smk",4462
"799","Croatia",2019,"smk",105
"800","Cuba",2019,"smk",213
"801","Cyprus",2019,"smk",19
"802","Czechia",2019,"smk",163
"803","Democratic People's Republic of Korea",2019,"smk",24000
"804","Denmark",2019,"smk",51
"805","Dominican Republic",2019,"smk",431
"806","Egypt",2019,"smk",2309
"807","El Salvador",2019,"smk",449
"808","Eritrea",2019,"smk",161
"809","Estonia",2019,"smk",49
"810","Eswatini",2019,"smk",382
"811","Ethiopia",2019,"smk",5450
"812","Fiji",2019,"smk",111
"813","Finland",2019,"smk",47
"814","France",2019,"smk",1750
"815","Gambia",2019,"smk",613
"816","Georgia",2019,"smk",856
"817","Germany",2019,"smk",1360
"818","Ghana",2019,"smk",1576
"819","Greece",2019,"smk",162
"820","Guyana",2019,"smk",87
"821","Haiti",2019,"smk",1550
"822","Hungary",2019,"smk",174
"823","Iceland",2019,"smk",1
"824","India",2019,"smk",309700
"825","Indonesia",2019,"smk",208100
"826","Iran (Islamic Republic of)",2019,"smk",1126
"827","Iraq",2019,"smk",2686
"828","Ireland",2019,"smk",64
"829","Israel",2019,"smk",61
"830","Italy",2019,"smk",990
"831","Jamaica",2019,"smk",6
"832","Japan",2019,"smk",3680
"833","Kazakhstan",2019,"smk",3070
"834","Kenya",2019,"smk",15120
"835","Kiribati",2019,"smk",182
"836","Kuwait",2019,"smk",189
"837","Kyrgyzstan",2019,"smk",1743
"838","Lao People's Democratic Republic",2019,"smk",2820
"839","Latvia",2019,"smk",169
"840","Lebanon",2019,"smk",252
"841","Lesotho",2019,"smk",4007
"842","Liberia",2019,"smk",1068
"843","Lithuania",2019,"smk",310
"844","Luxembourg",2019,"smk",12
"845","Madagascar",2019,"smk",11910
"846","Malawi",2019,"smk",2900
"847","Malaysia",2019,"smk",6656
"848","Mali",2019,"smk",1273
"849","Malta",2019,"smk",14
"850","Mauritius",2019,"smk",31
"851","Mexico",2019,"smk",4280
"852","Mongolia",2019,"smk",3288
"853","Morocco",2019,"smk",5065
"854","Mozambique",2019,"smk",13180
"855","Myanmar",2019,"smk",30200
"856","Namibia",2019,"smk",2370
"857","Nauru",2019,"smk",6
"858","Nepal",2019,"smk",13920
"859","Netherlands",2019,"smk",199
"860","New Zealand",2019,"smk",52
"861","Niger",2019,"smk",1543
"862","Nigeria",2019,"smk",18300
"863","Norway",2019,"smk",29
"864","Oman",2019,"smk",38
"865","Pakistan",2019,"smk",102400
"866","Palau",2019,"smk",0
"867","Panama",2019,"smk",97
"868","Paraguay",2019,"smk",442
"869","Peru",2019,"smk",4060
"870","Philippines",2019,"smk",138000
"871","Poland",2019,"smk",1490
"872","Portugal",2019,"smk",523
"873","Qatar",2019,"smk",151
"874","Republic of Korea",2019,"smk",6880
"875","Republic of Moldova",2019,"smk",867
"876","Romania",2019,"smk",3190
"877","Russian Federation",2019,"smk",20300
"878","Rwanda",2019,"smk",886
"879","Samoa",2019,"smk",4
"880","Sao Tome and Principe",2019,"smk",11
"881","Saudi Arabia",2019,"smk",506
"882","Senegal",2019,"smk",1565
"883","Serbia",2019,"smk",458
"884","Seychelles",2019,"smk",3
"885","Sierra Leone",2019,"smk",4060
"886","Singapore",2019,"smk",416
"887","Slovakia",2019,"smk",58
"888","Slovenia",2019,"smk",22
"889","Solomon Islands",2019,"smk",127
"890","South Africa",2019,"smk",69000
"891","Spain",2019,"smk",1080
"892","Sri Lanka",2019,"smk",2126
"893","Sweden",2019,"smk",88
"894","Switzerland",2019,"smk",106
"895","Thailand",2019,"smk",23280
"896","Timor-Leste",2019,"smk",2050
"897","Togo",2019,"smk",244
"898","Tonga",2019,"smk",2
"899","Tunisia",2019,"smk",792
"900","Turkey",2019,"smk",3650
"901","Tuvalu",2019,"smk",7
"902","Uganda",2019,"smk",6680
"903","Ukraine",2019,"smk",8750
"904","United Arab Emirates",2019,"smk",14
"905","United Kingdom of Great Britain and Northern Ireland",2019,"smk",1000
"906","United Republic of Tanzania",2019,"smk",14940
"907","United States of America",2019,"smk",2060
"908","Uruguay",2019,"smk",259
"909","Uzbekistan",2019,"smk",2463
"910","Vanuatu",2019,"smk",18
"911","Yemen",2019,"smk",2000
"912","Zambia",2019,"smk",8030
"913","Zimbabwe",2019,"smk",4076
"914","Afghanistan",2019,"und",28000
"915","Albania",2019,"und",56
"916","Algeria",2019,"und",2100
"917","Angola",2019,"und",40000
"918","Argentina",2019,"und",1200
"919","Armenia",2019,"und",67
"920","Australia",2019,"und",90
"921","Austria",2019,"und",29
"922","Azerbaijan",2019,"und",310
"923","Bangladesh",2019,"und",88000
"924","Barbados",2019,"und",0
"925","Belarus",2019,"und",140
"926","Belgium",2019,"und",53
"927","Belize",2019,"und",14
"928","Benin",2019,"und",1200
"929","Bolivia (Plurinational State of)",2019,"und",3300
"930","Bosnia and Herzegovina",2019,"und",46
"931","Botswana",2019,"und",2100
"932","Brazil",2019,"und",5000
"933","Brunei Darussalam",2019,"und",18
"934","Bulgaria",2019,"und",100
"935","Burkina Faso",2019,"und",2900
"936","Cabo Verde",2019,"und",55
"937","Cambodia",2019,"und",13000
"938","Cameroon",2019,"und",8300
"939","Canada",2019,"und",110
"940","Central African Republic",2019,"und",15000
"941","Chad",2019,"und",10000
"942","Chile",2019,"und",190
"943","China",2019,"und",132000
"944","China, Hong Kong SAR",2019,"und",240
"945","China, Macao SAR",2019,"und",82
"946","Colombia",2019,"und",1700
"947","Congo",2019,"und",9400
"948","Costa Rica",2019,"und",48
"949","Côte d'Ivoire",2019,"und",10000
"950","Croatia",2019,"und",17
"951","Cuba",2019,"und",38
"952","Cyprus",2019,"und",6
"953","Czechia",2019,"und",27
"954","Democratic People's Republic of Korea",2019,"und",68000
"955","Denmark",2019,"und",15
"956","Djibouti",2019,"und",670
"957","Dominica",2019,"und",1
"958","Dominican Republic",2019,"und",770
"959","Ecuador",2019,"und",1200
"960","Egypt",2019,"und",1000
"961","El Salvador",2019,"und",620
"962","Estonia",2019,"und",10
"963","Eswatini",2019,"und",1300
"964","Ethiopia",2019,"und",49000
"965","Fiji",2019,"und",44
"966","Finland",2019,"und",13
"967","France",2019,"und",290
"968","French Polynesia",2019,"und",4
"969","Gabon",2019,"und",2100
"970","Gambia",2019,"und",680
"971","Georgia",2019,"und",440
"972","Germany",2019,"und",250
"973","Ghana",2019,"und",4700
"974","Greece",2019,"und",23
"975","Guatemala",2019,"und",1200
"976","Guinea",2019,"und",6000
"977","Guinea-Bissau",2019,"und",2600
"978","Guyana",2019,"und",93
"979","Haiti",2019,"und",10000
"980","Honduras",2019,"und",670
"981","Hungary",2019,"und",31
"982","Iceland",2019,"und",0
"983","India",2019,"und",639000
"984","Indonesia",2019,"und",131000
"985","Iran (Islamic Republic of)",2019,"und",1000
"986","Iraq",2019,"und",6300
"987","Ireland",2019,"und",14
"988","Israel",2019,"und",13
"989","Italy",2019,"und",220
"990","Jamaica",2019,"und",14
"991","Japan",2019,"und",870
"992","Jordan",2019,"und",120
"993","Kazakhstan",2019,"und",660
"994","Kenya",2019,"und",55000
"995","Kiribati",2019,"und",28
"996","Kuwait",2019,"und",52
"997","Kyrgyzstan",2019,"und",950
"998","Lao People's Democratic Republic",2019,"und",3000
"999","Latvia",2019,"und",25
"1000","Lebanon",2019,"und",170
"1001","Lesotho",2019,"und",3100
"1002","Liberia",2019,"und",6900
"1003","Lithuania",2019,"und",60
"1004","Luxembourg",2019,"und",2
"1005","Madagascar",2019,"und",31000
"1006","Malawi",2019,"und",7600
"1007","Malaysia",2019,"und",1500
"1008","Maldives",2019,"und",35
"1009","Mali",2019,"und",1300
"1010","Malta",2019,"und",3
"1011","Mauritania",2019,"und",750
"1012","Mauritius",2019,"und",18
"1013","Mexico",2019,"und",2200
"1014","Mongolia",2019,"und",3100
"1015","Montenegro",2019,"und",4
"1016","Morocco",2019,"und",2500
"1017","Mozambique",2019,"und",42000
"1018","Myanmar",2019,"und",33000
"1019","Namibia",2019,"und",4500
"1020","Nepal",2019,"und",11000
"1021","Netherlands",2019,"und",44
"1022","New Caledonia",2019,"und",3
"1023","New Zealand",2019,"und",18
"1024","Nicaragua",2019,"und",760
"1025","Niger",2019,"und",5200
"1026","Nigeria",2019,"und",100000
"1027","North Macedonia",2019,"und",16
"1028","Norway",2019,"und",9
"1029","Oman",2019,"und",55
"1030","Pakistan",2019,"und",176000
"1031","Panama",2019,"und",280
"1032","Paraguay",2019,"und",620
"1033","Peru",2019,"und",6800
"1034","Philippines",2019,"und",135000
"1035","Poland",2019,"und",300
"1036","Portugal",2019,"und",100
"1037","Republic of Korea",2019,"und",1600
"1038","Romania",2019,"und",670
"1039","Russian Federation",2019,"und",3800
"1040","Rwanda",2019,"und",3200
"1041","Saint Vincent and the Grenadines",2019,"und",0
"1042","Samoa",2019,"und",1
"1043","Sao Tome and Principe",2019,"und",32
"1044","Saudi Arabia",2019,"und",460
"1045","Senegal",2019,"und",3800
"1046","Serbia",2019,"und",140
"1047","Sierra Leone",2019,"und",8300
"1048","Slovakia",2019,"und",17
"1049","Slovenia",2019,"und",5
"1050","Solomon Islands",2019,"und",72
"1051","South Africa",2019,"und",43000
"1052","Spain",2019,"und",220
"1053","Sri Lanka",2019,"und",2200
"1054","Sudan",2019,"und",8700
"1055","Suriname",2019,"und",26
"1056","Sweden",2019,"und",28
"1057","Switzerland",2019,"und",24
"1058","Thailand",2019,"und",15000
"1059","Timor-Leste",2019,"und",2300
"1060","Togo",2019,"und",780
"1061","Trinidad and Tobago",2019,"und",26
"1062","Tunisia",2019,"und",360
"1063","Turkey",2019,"und",670
"1064","Turkmenistan",2019,"und",280
"1065","Uganda",2019,"und",42000
"1066","Ukraine",2019,"und",2400
"1067","United Arab Emirates",2019,"und",5
"1068","United Kingdom of Great Britain and Northern Ireland",2019,"und",280
"1069","United Republic of Tanzania",2019,"und",55000
"1070","United States of America",2019,"und",510
"1071","Uruguay",2019,"und",63
"1072","Uzbekistan",2019,"und",2700
"1073","Vanuatu",2019,"und",17
"1074","Venezuela (Bolivarian Republic of)",2019,"und",4100
"1075","Viet Nam",2019,"und",29000
"1076","Yemen",2019,"und",6400
"1077","Zambia",2019,"und",30000
"1078","Zimbabwe",2019,"und",15000
